assunto,marca,solicitacoes
Atendimento,Datora,4
VoIP - Voz Sobre IP,Outros,4
Código de Acesso,ALGAR,4
"Oferta, Bônus, Promoções, Mensagens Publicitárias e Mudança de Plano",NOSSA TV - BRASIL,4
Canais de Relacionamento,OI,4
Dados Cadastrais,SERCOMTEL,4
DTH (Via Satélite),VIVO,4
Bloqueio ou Suspensão e Desbloqueio,Datora,3
Bônus e Promoções,SERCOMTEL,3
Mensagens Publicitárias,Outros,3
Instalação ou Ativação ou Habilitação,NOSSA TV - BRASIL,3
NÃO APLICÁVEL,SKY,3
Banda larga - WiMax,Outros,3
Dados cadastrais e número da linha,Datora,3
Longa Distância/Interurbano,Correios Celular,2
Bloqueio ou Suspensão e Desbloqueio,NOSSA TV - BRASIL,2
Atendimento,NOSSA TV - BRASIL,2
Banda larga - ADSL,CLARO,2
Código de Acesso,SERCOMTEL,2
Cobrança,Correios Celular,2
Crítica à Anatel,TIM,2
Outros,NET,2
Código de Acesso,Outros,2
Exploração Industrial de Linha Dedicada - EILD,Outros,2
Canais de Relacionamento,TIM,2
Pré-Pago,NEXTEL,2
Banda larga - ADSL,TIM,2
Canais de Relacionamento,SKY,2
"Documento de Cobrança, Contrato, Gravações",Datora,2
Local,SERCOMTEL,2
Programa Banda Larga nas Escolas (PBLE),HUGHES,2
Empresa não cadastrada,ALGAR,2
Internet Via Rádio,VIVO,2
Serviço Móvel Maritmo (SMM),Outros,1
Mudança de Endereço,NOSSA TV - BRASIL,1
Atendimento,EMBRATEL,1
Instalação ou Ativação ou Habilitação,Datora,1
Local,TIM,1
Local,ALGAR,1
Local,Intelig,1
Dados cadastrais e número da linha,CABO TELECOM,1
MMDS (Via Microondas),Outros,1
Longa Distância/Interurbano,CABO TELECOM,1
Atuação Anatel,NET,1
Atendimento,,1
Cancelamento,Datora,1
Programa Banda Larga nas Escolas (PBLE),SKY,1
Portal Anatel,SKY,1
Banda larga - WiFi,VIVO,1
Banda larga - WiFi,TIM,1
Canais de Relacionamento,CLARO,1
Banda larga - WiFi,OI,1
Banda larga - WiFi,NET,1
Banda larga - WiFi,EMBRATEL,1
Canais de Relacionamento,NEXTEL,1
Outros,VIVO,1
Crítica à Anatel,NET,1
Banda larga - ADSL,SKY,1
Outros,OI,1
Outorga,EMBRATEL,1
Oferta,,1
Crédito Pré-pago,SKY,1
Banda larga - ADSL,ALGAR,1
Atuação Anatel,OI,1
NÃO APLICÁVEL,,1
Atuação Anatel,CLARO,1
Outros,SKY,1
